hand,board
"Kh,5s","7h,4h,3d,Td"
"4d,7d","Kh,5d,As"
"5c,2h","7h,Ad,6s,Td,Qs"
"Jd,9d","7h,8c,6d"
"8c,4s","3d,3h,3c"
"Ks,Qd","Kd,5h,3d,2h"
"Qc,Ts","3h,Jc,Td,4s,6h"
"5d,Tc","7d,Td,6s,8d,5c"
"8c,6s","8s,Kc,Jd,2h"
"Qs,5h","Ac,Jc,7h"
"8c,6c","8d,Ks,7c"
"4h,8h","8c,5s,6s"
"3h,2c","9h,5d,5c"
"8d,5s","3h,Qc,8c"
"3d,Kh","2h,Ac,3h,Td"
"7h,2d","7d,Tc,Jc,9s,Ah"
"Tc,Th","Kc,8h,3d,Ac"
"Ts,5h","7d,9s,Qs,3c"
"Kh,6s","Tc,Kd,Ad"
"5d,9h","Td,4s,Jh"
"9s,Th","3h,6h,Qh"
"Qs,8s","Js,Kh,3c,2d"
"Js,2s","4s,Ks,3c,4d,3h"
"Qd,Jh","4c,5s,6s,2d"
"5c,6h","8c,7s,Tc"
"5h,Qd","4d,Ts,8d,6c,Kd"
"9c,9d","4s,Js,Ad"
"9c,Jd","2h,3h,4d,Qh"
"3d,Kh","As,2h,8d,4s"
"Qs,9s","6s,4c,2c,2s,5s"
"6c,5c","2d,3c,Td,Ac,Kh"
"Th,2s","3h,4h,3d,7h"
"2s,As","7d,Qs,4s,5d"
"3d,Jh","Js,2h,Qc,Ah,4d"
"4c,3d","5s,6d,5c,3c,Qd"
"8d,9s","Jc,Qd,2d"
"Jd,8h","4c,3d,2d"
"Ts,Ac","9h,2d,Tc,7s"
"Qc,Js","7c,6s,5c"
"Kc,6d","Qh,3s,9c,4s,8h"
"8d,As","Jc,2h,Ac,7s,5d"
"Ts,9d","Ac,Qh,Kd,3s"
"Jc,4h","As,9c,3d"
"3h,8d","Kd,7s,Ad,9c"
"9d,5d","Td,8c,As,Kd"
"8d,2s","7h,4d,As"
"6s,6d","As,8c,7s,5c,Ad"
"Js,7c","4c,7s,Ts,Qd,Td"
"Tc,Js","4h,Qs,5s"
"Tc,5c","8c,3h,Ad,5h,Kh"
"8d,4d","9d,5d,Ad,2s,7d"
"4d,Kd","6s,7h,4s"
"Jh,2s","Js,Qs,Kc,4h,Ks"
"Jc,6d","Ad,5c,7h,6h,4s"
"5d,8d","Qh,Ks,Ad,Jd"
"3d,8d","5c,Kd,9h,2h"
"3s,2d","As,Jc,9d,6c,5c"
"Qc,Kd","Qd,Tc,2s,3s"
"3d,Jh","8c,8d,Kh"
"6d,Kc","Qd,4d,4h,Jc"
"5s,6s","7s,Qh,Jc,Ac"
"Qc,Js","9c,Jc,9h,7c"
"Jc,Ah","As,8d,2c,Jh"
"5c,Kd","9d,Qd,Kc,6c"
"2d,2s","Js,9d,5h"
"Kd,3d","Th,7s,6c,Jh,Kc"
"Tc,Qc","3h,Th,8c"
"2h,6c","7d,3h,4d,Kd"
"Ah,4h","Jh,Qc,Td"
"4d,3h","5d,Ah,3d,8s,Td"
"3d,2c","2h,4d,5c"
"5s,Jh","7s,6s,Td"
"Jh,2h","Kh,Qs,Tc"
"5h,As","7h,8c,9c,7s,4c"
"As,2h","3d,4s,Ah,5c,8h"
"3s,Ah","Qc,2s,8c,5d"
"Ac,6c","Jh,Qc,2c,7h"
"2s,Td","Jd,5s,4d,Ah,Qs"
"Jd,5d","9h,2c,Qs"
"Qh,4h","Qd,8s,Ts,Td"
"2c,7c","4s,Kh,As"
"8s,5h","Jd,5d,6d,As"
"Js,Kc","7d,7s,7h"
"6s,Ac","7c,Kd,Ks"
"Kd,Th","7s,7c,Qd,8c"
"7c,Ah","9d,2h,8s"
"3h,Jd","Qh,5d,5s,Ah"
"2s,Kd","8d,9h,Js,5c,7s"
"Td,4d","Jh,5d,9d"
"8h,Qc","Td,9s,Tc,Jc"
"4d,Ks","Kd,Jc,Jd,Ah"
"Td,8s","3d,As,Tc,Ks,Qs"
"8s,3d","Kd,Jh,6h,3h"
"Qs,2c","3h,Kc,6s,2d"
"4d,6d","3d,7d,8c"
"Th,5c","2s,Qh,3h,Tc"
"Ts,6c","Ks,3c,7h,2h"
"Jh,Qh","Th,7c,7s,Js"
"7c,Ac","Qd,Td,8h,Ks"
"3h,Qh","As,8d,6d,5s,7h"
"4s,2s","Td,8h,7c,8d,Kd"
"3h,9d","2d,4c,Qc,2c"
"5h,4h","8s,Tc,3c,Ks"
"8d,4d","5d,7d,5c,8c,Jd"
"As,Qc","3d,7s,Ad,6d"
"Jd,Kh","5h,Td,5c"
"2d,7h","9d,Js,Ac,8s,6s"
"6c,4s","Js,3h,Ad"
"6c,7c","Kh,4d,Ah"
"7h,Ks","8c,Ac,Js"
"4s,Js","2c,8s,5s,4d"
"2d,As","5h,9d,5s,3s,4c"
"4h,Js","8c,5s,Qh,5h"
"Ts,3c","7d,7s,3h,9s,8d"
"9d,Js","3d,2d,5h"
"3h,Qd","2h,Jc,Jd,7h"
"3s,Kc","2s,9c,9h"
"9s,8c","5d,Kh,Kc"
"7h,4c","7s,Th,9d,4d"
"Jc,4c","9d,6h,8h,2h"
"7h,3h","5c,9d,Ad,3c"
"Js,9d","2d,Ah,3d,Qh"
"9d,4s","7d,Ah,Kc,2s"
"Td,5h","Qh,5c,2h"
"Td,6h","5d,Jc,5h"
"2d,3s","9c,8h,Kh,As"
"Td,9c","8c,4s,Ks,Ad"
"3d,9h","7s,Kc,4s"
"Ad,4h","2c,5d,Ah,Kd,Ks"
"6d,Qc","Qs,5c,3h,Ks,7h"
"4h,2h","Kh,9c,Ad"
"Qs,6c","2h,7h,Ts,Ad,3c"
"2h,Tc","2c,Js,Qs,7s"
"8s,2c","Ts,Td,Ks,Kh,4d"
"Qs,Ts","Tc,Jd,5c"
"4c,8d","Ac,4d,2h"
"6h,Ad","5c,Kd,Jc,Kh"
"Jh,7h","9h,7d,Jd"
"4s,5c","6h,6s,Kc,8d"
"9h,Qd","9d,4d,4h,8s,7c"
"Ac,Kd","3s,Jc,Ah"
"2h,As","9c,Kc,3s"
"6h,Td","Js,Kc,7s,7h"
"8d,7h","Kh,Ah,Jh,5s"
"Ad,8d","6d,9c,6c"
"7d,2d","7h,7s,2h,Jc"
"9c,7s","3c,Jd,Js,9h"
"4d,5c","5h,3s,7d,7h"
"Js,9s","Jh,7s,3s,Kd"
"Kh,As","6c,3s,Ad,5d,Td"
"Ah,3c","Qc,2d,4s,7s"
"Jd,6h","3c,3d,4c,5c"
"6c,3h","Jc,9h,Ad,2d,Ts"
"3s,4d","Ah,9h,Ac,Qs"
"6d,7c","2h,Kh,3s,9c,4h"
"Kh,8h","7s,2h,6c,4d"
"9c,2c","8c,7h,8h,4c,Qh"
"5d,3s","Ah,3d,Tc,Qh,5h"
"2h,7s","Ac,Js,3h,Tc"
"9c,4s","2s,3h,9d,Qs"
"7s,Qs","5s,Td,Ac,6h,2c"
"7d,Td","Kh,8s,3s"
"Tc,4d","6c,Th,2d,3s,Kc"
"As,7d","6c,5s,Tc"
"Jh,2d","3c,Jc,Kc,5s,Js"
"3d,5s","4s,Jc,Kh"
"8s,3s","8h,Jc,Td,Js"
"6h,As","4c,Kh,Td,3c"
"9c,6d","Ks,Jd,5h"
"Js,4c","4d,Ah,Jd,5h"
"8s,Th","Ac,Qd,5s,Jc,Qs"
"Ac,8h","7h,Ks,2d,Qd"
"2h,Qc","4d,8d,9s,Ah,5d"
"Qd,Ts","6c,Kc,7d"
"Jd,Ac","3s,2h,Tc,Kd,8h"
"2s,3s","Jc,2c,4h"
"9h,6d","7s,Ah,Jc"
"8c,7c","5h,6d,Kd,3s,5d"
"Kd,4c","Ts,Ac,3h"
"9s,4c","3h,9d,9c,7s"
"5d,Ah","Td,Ks,9d"
"Ks,9d","Qs,7h,Jd,6h,3c"
"Qd,5c","2c,Jc,Js,8c"
"Kc,Th","Qc,8c,4h"
"5s,Jc","Ac,6h,Kh"
"8d,Ks","3c,7c,Kh"
"Kd,9h","5s,Qc,5d,Ad"
"Ac,Ah","3s,Th,7h"
"Qs,Ah","Td,Ks,6h,As"
"7h,Kc","Ts,Ac,Th"
"8d,Ad","2d,3s,2c,Kh"
"Qc,5c","7c,8c,4h,8s"
"Js,7d","2s,4d,6d,Ks"
"Kc,As","8d,5s,Qh"
"Kc,Kh","2c,7s,Js"
"8s,Kh","5h,9s,Jd,7c,Qc"
"As,Th","7s,4c,5h,Kh"
"Qh,7s","Th,9s,2c"
"9d,9h","Js,8h,4s,7d,3h"
"Qs,5h","3s,Kd,8s,8c"
"Jc,As","9s,9c,2s,Ac"
"Ac,9d","2s,4c,Ks,Jc,Tc"
"Ad,4h","9d,2h,Tc,8d"
"6c,2d","Jh,3c,7c,7s,7d"
"2c,5h","8c,As,8h,2d"
"Ah,3h","8h,Ac,9s,Js"
"9d,2s","9c,2h,9h,8d,Js"
"As,Jd","2s,Jh,Td,9h"
"Td,9c","5h,7d,6d"
"Js,4c","7h,2d,3s"
"6h,Jh","2c,7c,As"
"9h,4h","Th,Kc,Ah,8h"
"5s,4s","Th,Ad,7c"
"5s,Ad","Qc,8c,7d"
"7c,Jc","Jd,5d,4h,4c"
"9d,6s","6c,Qc,4d"
"Jc,7s","Kd,Qc,2c,9h"
"Ts,Kd","3s,Js,8c"
"Kh,5c","Ac,Ad,8s,Jh"
"Kc,8d","Ks,Ad,Jh,2d"
"9d,6c","7c,4c,Ac,8d"
"9d,Qc","5h,Qs,9s,Js,8h"
"5h,Ah","9d,2c,5c"
"2c,Kd","5h,3c,3d,7s"
"8d,6h","5s,3d,3c,7d,Tc"
"6c,5d","Ad,7c,Jh"
"2c,6d","Td,3h,6c,3c"
"Qc,8c","2h,5s,Kc,Kh"
"Ts,8h","7c,7d,6s,Td"
"8h,7d","Jd,7s,Ad,Ac"
"3d,3h","6c,6h,4s"
"Th,4h","2h,Qd,6c,Kh"
"Jc,6s","4d,5s,Kd,8h,Ac"
"6h,6c","7d,2h,5h"
"Jc,Js","6c,3d,9s"
"9d,Ts","8d,7s,3h,4c"
"2h,3d","Qh,8s,6h,Jc"
"3h,9d","8h,5h,Ac,6s,9h"
"8s,6d","Qs,3h,Jd,8h"
"6c,Qc","7d,9d,Js,5d,6s"
"As,5h","4s,Tc,3s"
"3s,5s","Ah,9d,Tc,8c,6s"
"Js,Qs","8h,Ac,6h,2s,2d"
"Kh,7d","2h,Td,Js"
"9d,8c","5c,8s,7s,Jh"
"7c,2d","6h,2c,9s,Kh"
"3d,Ad","Tc,Qh,8s,Jd"
"4h,5c","6c,5s,Qd,6d"
"Jc,Kh","2d,Ad,7c"
"Js,6c","Qs,Td,Ks,Jh,Qd"
"Ah,8h","4h,6d,2d,3d,2c"
"2d,Qc","Qs,7c,3d"
"8d,Qs","8h,Kc,8c"
"9s,9d","5d,Kc,Jd,As"
"8h,2c","Ac,7s,3h"
"7d,9h","8c,Qs,5h,4c"
"Ts,9c","Ks,5c,8s"
"Qd,9h","9d,4c,5c"
"Ah,Js","4d,4c,Th"
"7s,3d","2h,9c,Tc"
"Qh,As","2c,Tc,Qs,Js"
"2d,Js","6s,4c,6c"
"Jc,9c","Qc,3c,2d,6h"
"Th,8s","3c,Jc,2c,7c,9c"
"9s,5h","7s,Js,As"
"Jd,4d","6s,5h,Qh,As"
"Kd,5d","2h,Qs,9s"
"Ks,7s","6c,Tc,3c"
"Ks,3d","4c,3h,Js,6h,Jc"
"5c,8c","5d,Jd,4s,6c"
"8h,8s","7h,5h,Js,3h"
"6h,3d","2s,4h,6d,Kd"
"Ac,Js","2d,Td,6d"
"2s,Ah","Qc,3d,7s,2d,8c"
"5h,4h","7h,8s,9d,7d,Kd"
"2h,Ah","3d,8d,9c,Th,2s"
"8c,6c","8s,Kd,6d"
"Tc,8h","7s,8d,Js,Ts"
"4c,Qc","Th,As,Ac"
"As,Ad","4c,5d,9s"
"9h,Js","7d,3c,6d,6h"
"5h,Qc","7c,8c,4h"
"2c,8d","9c,Qc,9h"
"6d,2s","As,Jh,Ks,2h,3c"
"3d,Qs","8c,2d,2s,Ts,9s"
"8h,9d","7d,Ah,2d,8c,8s"
"Qs,8d","2d,Td,Qc,Jh"
"8s,Kd","Ac,7c,7h,Jc"
"Ts,5s","9c,Qs,8h"
"Kh,5c","9s,Ts,Qc,2c"
"2s,4d","8s,Kh,As,9s"
"Kc,Jh","2h,5c,9c"
"Kc,5d","8h,Tc,Jc,9h"
"6d,Th","4h,4d,Ah,8s"
"6d,2s","3c,3d,9s,Ks,Jh"
"Kh,Kd","5h,Tc,6s,2c"
"3c,6h","5d,Tc,8s,Ts,Ac"
"6h,4h","Ac,8h,3s,Ah,8s"
"3h,4h","4s,6h,Ac"
"2h,Ah","9h,4s,6d,Kh,8c"
"2c,3d","4c,4s,5s"
"Td,5h","As,5d,7h,4c"
"2s,Jd","9s,4c,4h,Jc"
"4h,9c","Jh,Ks,7s,8h"
"5s,Ks","3s,Jh,Kd,5c"
"6c,Td","As,8d,5s"
"Jc,9c","2h,Qc,As,7s"
"2h,Tc","8s,4c,5d,Jd"
"9s,2h","2c,Ah,Js,5c,Ks"
"Qc,5h","5d,2h,3c,5s,8s"
"Ac,Ks","5c,7s,8h,9d,9h"
"Ts,2c","Ad,9h,5h,4d,5d"
"Qc,6s","9s,Ts,2c,Th"
"6d,7h","Kh,3d,Ts,6s,Ac"
"Ks,Ad","As,7c,2h,Jc,Qd"
"2c,Qd","8s,Th,9h"
"8c,8d","Kh,Qh,6c,3h"
"Ah,9c","7c,6c,Kc,5c,4d"
"Ks,7c","Js,8s,7d,3h"
"Jh,Js","Kd,9s,4h"
"Jc,Ks","Qs,9h,3h,2d,Kd"
"8c,Qd","As,Kd,Jc"
"5h,5c","2c,8h,Ac"
"7h,8h","3c,9s,Ah,Qc,Kd"
"6h,Ac","Ts,Jc,4c,5d,Th"
"Js,Ad","9s,2d,4c"
"3d,7s","2c,Jc,Ac,5c"
"9d,7s","3d,As,Jc,Td,Ts"
"Qh,4c","Ts,Js,Th"
"5h,Qd","8s,Tc,7s,Kc"
"2d,5c","Kc,Td,Tc,5h,7d"
"Js,8h","6s,3d,4h,Jd,Ac"
"7d,8h","Jc,As,Ac,Ah"
"7h,Kh","6s,Js,2c,Qs"
"4d,Kh","Kc,6s,4c,2s,9h"
"Js,7c","6h,4h,Kc"
"Kh,2d","5d,Js,Ts"
"9c,Ts","Ad,Qc,Jh"
"8s,8d","2d,7c,9c,6s,7h"
"Ts,Kh","3h,Jh,Ks"
"6h,4s","3d,Td,Qc"
"Ts,9c","Td,5h,4s"
"Qs,7s","6c,8d,Kd"
"8c,5c","8s,2h,9d"
"3d,2c","Td,5s,7s,5c,Ad"
"4s,3h","5c,3d,2c,Kc"
"Qd,5d","As,Qs,9h,2s"
"Kh,7h","Ad,Th,4h"
"As,5s","Tc,3d,Qh,5c,5d"
"Jc,6d","7d,Kd,Ah"
"6d,Qs","Ts,3h,2h,Jh,9c"
"Tc,8c","6d,8s,4d,6h,4s"
"Kc,7h","Kh,2c,Td,9h"
"Kc,9h","As,Jd,8c,9c"
"Ac,3h","5h,Qh,6c"
"2c,Jc","5d,Ks,Td,2d,Qs"
"Qh,5c","8c,2h,6c"
"Kh,4d","3d,9c,6s"
"Kh,8d","3c,2h,6c"
"7c,Td","Ah,5c,8h,7d"
"5s,Td","Jd,9c,3c"
"Jh,Th","5s,Qc,Tc"
"3h,Kd","2s,7c,4c,5d"
"Qc,Qd","6s,7h,As"
"8h,Ks","3h,7d,5c,Jc"
"Jd,Ad","4c,3c,5s"
"6s,As","Qh,Js,9h,8h"
"Th,9d","6s,7d,Ah,8d"
"As,3h","Jh,Qd,9s"
"Qd,Ad","Ks,4s,3d,Kc,2d"
"2h,Tc","4d,Ks,3d"
"9h,Td","8s,5s,9s,3c"
"Kd,5s","7d,3d,3s"
"Jc,6h","8c,4s,Th"
"Ks,9c","Js,8d,2c"
"Ts,Kh","Jh,8d,Js,2s,2c"
"Ah,Qs","5c,5h,Ks"
"6h,5s","Ad,Qc,4c,5c,6d"
"5c,Qd","Jh,Td,7d,Kh,8h"
"Qc,7s","Td,7c,3d,4s"
"Jh,Ks","8d,5d,6s,7c,As"
"5h,4s","9h,2h,7c,5c,7d"
"9d,As","8d,9h,8c,4d"
"2h,9c","Js,6d,8c,9h,2c"
"6c,Js","5h,Th,Ad,Tc,Kh"
"3d,8d","2c,Qd,Ah"
"Js,3s","8c,8d,4s,Kc"
"8c,7d","Ts,8h,As"
"Jc,Qs","Jd,7h,2c,5h,Tc"
"Qs,7h","3s,Ah,Js,Kh"
"2s,7d","Tc,4d,Qd"
"2h,7s","Js,6h,8s,3d"
"9d,8s","Ks,3c,4h,9s,2d"
"8h,Td","7h,Kd,Qc"
"3d,3c","Js,3s,6h"
"5d,2h","Kd,Ks,3h,3c"
"7s,6s","Kd,4c,Ts,5s,4d"
"Qd,3s","5s,Td,7c,Tc"
"9s,6s","Jd,3h,Kc"
"Qc,5d","4c,Th,8c"
"As,3s","6c,3d,9h,8h"
"4d,2s","Ac,2c,2d,6h"
"2c,4s","Jc,7c,3c,6s"
"6s,Th","Qc,8d,6c,4c"
"Jd,4s","5h,Jc,3s"
"Qh,Qd","5h,9d,8d,6s,4d"
"3d,Kd","Js,4h,7h"
"2d,Qs","5c,Kh,Ts,Ks,Ad"
"9s,6h","Ks,7h,Kc"
"7h,7c","4h,5h,5d"
"4c,4h","7d,5h,Jd,9h"
"Ac,4s","6c,9d,9s,Tc,8d"
"7d,6c","Js,Th,Qc,Td"
"Ad,Ts","9d,Kc,5c"
"2c,Ts","6h,Th,Jd,9h"
"Jd,7h","4d,Kh,3d"
"5s,3c","3s,Td,4c"
"7c,9s","Ts,5c,Kd,8c"
"Qd,Kd","8h,Ah,9h,2s,Ks"
"4d,Ah","6d,9h,5d,Tc"
"2c,Ah","5s,Kc,Qc,2h"
"Js,Ad","9h,7h,Tc"
"7c,3h","Ad,7h,Js"
"2d,5c","Td,3c,Tc,Js,Jd"
"8d,Th","3h,Jd,Ac,Ad"
"7h,6s","Ah,Qs,9h,Qd,Ad"
"2s,Tc","5d,Qh,2c,4d"
"Ac,6s","5s,7s,3h,5c,As"
"9d,3h","Jd,Ts,2c,2h"
"4d,Jc","Kd,4c,Ac,7d,3c"
"Ks,4c","Td,2h,5s,6c"
"Ts,8s","7h,2d,Ad,5h,Qs"
"7s,9h","4c,5c,4h"
"3h,Jh","Td,6c,3s,4s,8d"
"As,Jc","Ac,4d,Kc,8s,8h"
"Qc,5s","Ad,Ks,Kh,6s"
"2s,Jd","8d,9h,Ad,Kh"
"5h,4s","8d,3c,7h"
"6d,5h","Kd,Ks,Kc"
"8c,2c","Jc,4d,7h,5d"
"3h,Jh","Kd,Tc,8s,8d,Kh"
"9d,2d","6d,4h,3s,9c"
"Js,Kc","7d,Ad,Ts,Td"
"Jh,6d","Jd,Ad,Ah,5h"
"2d,Kd","Jh,Qh,Js"
"3d,Qc","4h,Jh,Qs"
"3h,Tc","5c,Td,Ac,Kc,9c"
"7d,Js","8s,8d,4h"
"5s,Qh","3s,Qs,2s,3c,Js"
"Kc,Kd","5h,Jh,3d,Ah,3s"
"6s,8h","Jc,5s,Kh,7s"
"Ad,5h","Ac,4s,9c"
"7d,9c","6s,Qc,5s,4d"
"Tc,8c","3d,Kd,4d,Jd,8s"
"7s,Jd","5c,Jh,8d,Th"
"Ah,9h","2c,Jd,5h,6d"
"Qh,4s","2s,8c,Jd,Ad,9d"
"9h,6h","Jh,4h,Kc,As"
"8h,Kh","2h,Js,Kd"
"4h,Ac","5d,7s,2h,Td"
"7c,9c","Ks,Ac,2d,8c"
"3h,Ac","Qd,Td,4h,7c,6c"
"Qs,Qd","Kd,9d,7h"
"5s,9h","8d,9s,3s,Qd"
"5h,Js","5c,2d,Ac,9d,5s"
"8s,3h","3d,7h,6s,5c,5h"
"4d,2h","Ad,3s,5d"
"5c,As","3d,Td,4s"
"4c,8s","Tc,6h,6d,Jc,Jh"
"9s,Jd","8h,Th,Ah"
"6h,9s","Jc,Qc,6d,4h"
"2h,5h","6h,Th,6d"
"7h,8h","5c,Kh,8c,8s,4d"
"8c,3h","Ts,4s,6h,Ac"
"Qc,4c","5d,3h,2c"
"Td,9d","Jd,4d,6d,Jc,8c"
"Qh,6c","4c,Kh,Jc,6s,7c"
"6d,Kd","Qh,Th,4c,Jd"
"2h,Jh","4s,8s,9h,Kc,2c"
"Jh,Kc","Jd,2s,Js,2h"
"3h,Jd","Jh,Qs,Kh,Js,2h"
"3s,Qc","6h,6s,Qh"
"Ks,Jh","Kh,7d,9c"
"7d,4d","Qh,8s,Js,5h"
"5c,Ks","2c,Ts,8c,3s"
"As,8h","5h,2c,Js,Ts,9d"
"Qd,Qc","Ts,2h,3d"
"3c,Qd","4s,8c,5h,6c,7c"
"Ah,9h","7d,Qc,Jd"
"2c,3h","7d,Qs,Td,8h"
"6c,Ks","7s,2h,9c"
"Kh,9d","3c,Qc,Jc"
"As,4c","8s,9d,7s"
"5s,Qd","4h,4c,Th"
"Qd,9c","Js,Ts,Ad,Qc"
"2c,5s","Ah,Js,7c,7h,Ac"
"8c,5d","5h,7d,Qd"
"Kh,5d","As,9d,9s,7c"
"Jh,9s","6h,2d,4h,Ac"
"3d,Kc","9c,9s,Jh,6s,3h"
"8c,Tc","Jc,Ts,2c,6d,Jd"
"5s,5c","Jd,Kc,2d"
"9c,2s","Qc,2c,Qd,Jh,3c"
"5d,Qd","Ks,Ad,Jd"
"3d,8d","Ah,2c,2d,5c"
"Jh,5s","4h,4c,7h"
"Th,7s","8s,Qs,9d"
"8c,6d","5c,6s,4h,6h"
"7d,Qc","3s,5c,3c,5d,Ac"
"Jd,Kd","7h,6h,7c,2d"
"5h,3c","Kd,7d,5s"
"Qs,Kh","Kc,3s,6d,3h"
"Ac,5c","Jd,Kd,8c,Jc"
"Js,4d","Td,Tc,8d"
"9h,8c","7d,9c,Qh,Kh,Ad"
"Kd,2d","8s,3d,5c,Kc,7h"
"Qs,6s","Ac,4s,9s,Ks,7s"
"9d,6s","Jh,3c,3s,Kh,6d"
"8c,8d","9d,4h,Kh"
"3h,5s","Qs,Qd,Qc,Ac,As"
"6d,As","9s,6c,7c,2c"
"3c,Th","Jh,2s,6c,9d,As"
"9d,Kh","Jc,5d,7d,5s"
"4s,5h","2s,Qh,7s,8s"
"As,Ac","Kh,3d,7d"
"Qc,Kc","2c,Kh,9h,2d,8s"
"3h,5c","7c,2s,7d,Qs,Kc"
"6h,6d","5c,9d,9h,8h"
"3s,5s","8h,2s,As"
"Th,Jh","Qs,7s,7c"
"Ac,Ts","As,7h,Kd"
"9d,Js","2d,6d,9c"
"6c,6d","Ts,2c,Ah"
"9c,Ah","5h,6h,2h,6s,8c"
"Th,Td","3d,7d,Qh,Qd,Ts"
"Ac,Ad","4d,Kc,Jh"
"Jd,2s","2h,8s,4c,4s"
"4d,2h","5c,7d,5d"
"Th,Kh","8d,8c,2d,Kc,7d"
"Ad,6s","3d,8s,8d,3s"
"3d,Qc","7h,Ah,3h,5h"
"3s,2s","6c,7c,Ad,9h,Qc"
"Tc,Jd","4s,6h,9c"
"Kc,Jc","2h,Ks,7s,3d,3s"
"3h,8s","Tc,7c,Qs,6h"
"Ah,6h","3c,Kd,9c,6d,Tc"
"Ts,3d","7h,6d,3s,Td,9d"
"2d,2s","8d,Kc,9h,5h,8h"
"3h,6s","4h,2s,9h"
"4s,9h","Jc,Kh,Qs,7s"
"3s,Ac","9c,Jd,2h"
"2d,Js","Ts,Jd,Qd"
"Ts,6s","8c,Jd,As"
"5s,9c","8s,6d,7s"
"Ah,4d","2d,7d,Js,Kd,5c"
"Ac,8s","5c,Qd,9c,Qs,Jc"
"Th,6s","Kd,7c,Kc,5h"
"2c,Tc","2s,Td,Ah,Ad"
"8s,Ah","Qc,Kd,4s,6s,9c"
"Kh,Qh","8c,3s,Qc"
"4c,Qs","2d,Qc,Ac,2h"
"4d,Ts","4s,3h,As,Kd"
"Jh,3s","8c,Qc,6d,Kh"
"Qd,Tc","9c,7h,Td,9d,Kd"
"Jc,Th","4s,3d,2d,4d,5d"
"6s,As","Qh,5c,6h,Qs,3c"
"Qd,Th","7d,3d,Qs"
"8h,2d","6c,Qc,2h"
"5h,Td","7h,4h,Jc,7d,Ac"
"5d,Td","6d,Js,2h"
"Jc,6d","5d,9d,3d,7d,4h"
"Jd,Th","9d,Td,Jh,As"
"7s,Ks","Kc,6s,9s,4d,3c"
"4d,Ac","8h,9c,4c"
"2d,Jc","2h,5d,9s"
"5s,Kh","5d,5c,Ac,4c,8d"
"Ac,3h","6d,Ks,6s,2c"
"4c,3d","8d,Tc,Ah,Ad"
"3s,9d","Tc,9h,Jh"
"Jd,Kh","Ac,Qd,6d,5c"
"Ac,Kh","6h,4d,4c,2c,9s"
"6c,4c","8h,Js,Jc"
"6c,7d","4s,5s,Qc,Ts,Ad"
"8s,Ts","5s,6c,Jc"
"Ac,Qs","4d,Ks,2c,9d,Ah"
"Kd,8d","7s,4h,9h"
"8c,9c","Kh,2c,7s"
"4c,Ks","9d,7s,7d"
"6h,9c","4c,7h,Ks,2s,8s"
"2h,Qc","Jc,Kd,5c"
"Qc,8h","8d,7h,4c,Tc,9d"
"5s,Kh","2s,4d,5c,7s"
"9s,6h","4s,Qd,9h,5d"
"2s,3h","Qh,6c,2d,Ad,8c"
"5d,9h","4d,9d,Th,4h"
"Js,7c","Kh,3h,5s,6c"
"Th,9c","7h,3d,Qd,7d"
"8h,5s","7h,7s,7c,Qd,9s"
"7d,Kc","Kh,9s,6c,5h"
"3h,3c","Jh,Qh,Js"
"6c,9d","Jh,Th,6d,6h,Ad"
"8h,Ts","3s,Td,6s,3d"
"Tc,2d","3c,Qs,2h,5s,4d"
"4c,2c","5c,Tc,8d,Kh"
"4d,5s","Kh,5d,3d"
"Kh,3h","4d,2d,8h,As"
"7c,9h","7d,3h,Js,4h,3s"
"4s,4c","Ac,Th,Kh"
"3c,Ah","Ac,4c,2d"
"6d,Jc","5c,Jd,5s,4s,Qc"
"Qc,4s","4d,Ks,6d,Jd,Ts"
"Ks,2c","6h,5c,7d,Qc,4h"
"9s,7c","Qs,9d,2c,Qh"
"7d,Qc","6c,2d,7h"
"4h,Kc","3s,8c,6d"
"Js,4s","7s,7h,8h,Qd"
"2h,9s","Tc,Ks,4c,Jc"
"7d,Ac","As,5s,4s"
"Tc,3h","5h,Js,Th"
"Js,Jc","Th,7d,2d,Qs"
"7c,9d","6c,Ks,7s,6d,Ah"
"Ah,As","Qs,Js,8h,Ks,2s"
"7s,8s","2c,Ad,Qs,Qh"
"2d,Qh","Ts,Js,3h"
"3c,Js","Ts,6s,As,7d,Ks"
"3c,2h","5d,4c,Ac,7h"
"8h,Kh","Ad,2h,3h,4d,Jd"
"Qc,7d","9h,8d,9s,Ah"
"Qs,2c","8h,As,8s,7c,5c"
"4c,Ks","3d,4h,5s,Jc,2h"
"6s,7s","Jd,5h,9d"
"Ks,2c","Kd,Ac,Jh"
"2d,9c","8d,7s,4h"
"9d,Ad","Qh,Qd,Jc,Ks,4h"
"4h,3s","2s,9s,Ks"
"Ad,Jc","Ac,7d,5h,Tc,Td"
"2c,6c","6h,Jc,5c"
"5s,8s","Jh,3d,9s"
"9c,7h","4c,7c,Kd"
"Qs,3s","Ad,Js,9h,7s"
"4c,7h","Jd,Tc,Ad"
"5d,7h","Kd,3c,9d,As"
"Kh,5d","9s,Th,Qd,9h"
"As,4d","Js,2d,5s,6d"
"3h,6s","8h,4d,9s"
"4s,4h","Ts,Qd,Qh"
"8c,Td","9d,6s,2d,Ks"
"6d,7s","Kh,9c,Kd,8c"
"3h,Jc","4s,Th,5c"
"Td,Kd","6d,Ks,3c,7c,2h"
"Qh,9d","5h,8c,4s"
